name,country,region,sub_region,grape_varietal,wine_type,bottle_price,sale_price,description,merchant,address
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 Colosi Nero d' Avola,Italy,Sicily,Sicilia,Nero d'Avola,Still wine,,$12.99,"
The Colosi family has been making wine on the beautiful island of Salina (part of the Aeolian Islands off the northern tip of Sicily) since 1987. In fact, the winery is now celebrating its 30th anniversary. The wines from Salina offer exciting value with distinct territory-driven aromas that come with the Mediterranean sea breeze and salt. You get a lot of authenticity and personality with these wines. -Monica Larner, WA (8/17)
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
,,,,,,,,,,
 William Hill Chardonnay North Coast,United States,California,North Coast,Chardonnay,Still wine,$17.99,$12.99,"
William Hill Estate Winery is a special place. In 1978, visionary vineyard developer William Hill saw the incredible potential of the Silverado Bench, where he built his namesake winery. More than three decades later, our winemaker Ralf Holdenried is making modern wines that speak to the unique terroir of this virtually unknown area of southern Napa Valley.
A confluence of characteristics makes our 140-acre estate an ideal vineyard. Set on a benchland - off the valley floor, but below the steeper slopes of the hills - with a southwestern exposure, the vines bask in abundant sunlight. The vineyard is close to the valley floor climatically, but the volcanic soil and the size and vigor of the vines means William Hill is more like a mountaintop vineyard. These elements translate to elegant, expressive red Bordeaux wines.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
,,,,,,,,,,
,,,,,,,,,,
 Seaglass Pinot Grigio,United States,California,Santa Barbara County,Pinot Gris,Still wine,$13.69,$9.99,"
To preserve and enhance the snappy, clean fruit flavors and acidity, winemakers carefully craft our Pinot Grigio in a reductive style, protecting the juice from oxygen exposure. We avoid malolactic fermentation, and instead ferment the grapes in stainless steel tanks at cold temperatures to retain the grapes’ natural flavors and delicate aromas. We bottle the wine early, when the fruit flavors and aromas are at their best, and use a Stelcap closure to ensure that every glass is always fresh and delicious.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 Ferrari Carano Merlot,United States,California,Sonoma County,Merlot,Still wine,$22.99,$16.97,"
The Merlot is a velvety wine with a complex nose ofblueberry pie, raspberry jam, cedar, vanilla and spice. A fleshy and generous mouthfeel is followed by notes of bittersweet chocolate, clove and toffee. This wine has full, generous tannins that coat the palate, impressive length and lasting acidity.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 Cupcake Chardonnay,United States,California,Monterey County,Chardonnay,Still wine,$12.19,$8.99,"
A big, rich wine from California’s Central Coast, our full and elegantly textured Chardonnay has decadent levels of butter, cream, bright citrus and vanilla. These layers melt into a balance of oak and subtle spice. This wine epitomizes the Central Coast’s crisp and vibrant Chardonnay character. We use a malolactic fermentation to impart rich buttery flavor, then leave the wine sur lie to achieve a full, soft body. Aging for nine months in premium American oak barrels enhances the golden color, adds creamy texture, and injects nuances of subtle toasty oak and spice.
",Petrocks Liquors,"419 Amwell Road Hillsborough, NJ 08844"
,,,,,,,,,,
